x,y,vx,vy,r,t,name
-33749875033.783875,101332643438.52997,33550.17048285485,11547.483565418814,106805237189.17664,3801600,Venus
-30823699535.506874,102247943860.36952,33867.77197079863,10593.754882402172,106792988893.1314,3888000,Venus
-27872454223.752792,103080069264.62753,34157.93184900557,9631.08106780098,106781901013.49388,3974400,Venus
-24898532830.111504,103828316696.35791,34420.38650047789,8660.271200582989,106771982678.46924,4060800,Venus
-21904349704.74306,104492053832.01562,34654.89728435696,7682.142773816154,106763242035.92044,4147200,Venus
-18892337632.242035,105070719634.22902,34861.25083913223,6697.520858951334,106755686245.11479,4233600,Venus
-15864945624.037228,105563824933.2665,35039.2593542223,5707.237257378105,106749321469.48286,4320000,Venus
-12824636690.11334,105970952934.2189,35188.76080930425,4712.12964065291,106744152870.4024,4406400,Venus
-9773885592.888699,106291759649.04294,35309.61918084076,3713.040680833749,106740184602.01756,4492800,Venus
-6715176586.12431,106525974252.7371,35401.724615328574,2710.817172386187,106737419807.10252,4579200,Venus
-3651001141.7740083,106673399363.05101,35464.99356886923,1706.3091471515982,106735860613.97644,4665600,Venus
-583855667.7131982,106733911243.25911,35499.36891274086,700.368983890051,106735508134.47525,4752000,Venus
2483760780.6954427,106707459927.6624,35504.82000472964,-306.1494860729821,106736362462.98352,4838400,Venus
5549348792.227026,106594069269.61446,35481.342726059986,-1312.391875554941,106738422676.52805,4924800,Venus
8610410891.631124,106393836912.00215,35428.95948384373,-2317.5041390312663,106741686835.93318,5011200,Venus
11664453828.701063,106106934180.2454,35347.71917905021,-3320.633469406813,106746151988.03575,5097600,Venus
14708990861.604002,105733605898.01376,35237.697140080316,-4320.92919249585,106751814168.95566,5184000,Venus
17741544031.514233,105274170125.99103,35098.99502210916,-5317.543657670499,106758668408.41666,5270400,Venus
20759646425.613224,104729017824.15086,34931.740672442014,-6309.6331231499735,106766708735.10986,5356800,Venus
23760844425.547993,104098612438.13696,34736.087962207974,-7296.358634420194,106775928183.09068,5443200,Venus
26742699938.474163,103383489410.46985,34512.21658479363,-8276.886894295361,106786318799.19823,5529600,Venus
29702792607.851395,102584255617.42886,34260.331821495754,-9250.391123159625,106797871651.48479,5616000,Venus
32638722001.206764,101701588732.58128,33980.66427494642,-10216.051907958017,106810576838.64069,5702400,Venus
35548109772.135666,100736236518.05133,33673.46957093632,-11173.058038541205,106824423500.39894,5788800,Venus
38428601793.86994,99689016044.73863,33339.02802933189,-12120.607330008048,106839399828.90198,5875200,Venus
41277870261.80889,98560812842.80966,32977.64430484892,-13057.907429733441,106855493081.01143,5961600,Venus
44093615762.4801,97352579983.89435,32589.64699850935,-13984.176607816064,106872689591.54054,6048000,Venus
46873569306.473885,96065337096.52556,32175.388240668803,-14898.644529731337,106890974787.38745,6134400,Venus
49615494322.97665,94700169316.45906,31735.243246559723,-15800.553010028856,106910333202.54568,6220800,Venus
52317188613.614784,93258226173.60721,31269.60984534885,-16689.15674597049,106930748493.96791,6307200,Venus
54976486263.41144,91740720417.40959,30778.907983757566,-17563.724030065085,106952203458.2569,6393600,Venus
57591259506.75279,90148926782.54886,30263.57920533974,-18423.53744051783,106974680049.15695,6480000,Venus
60159420546.35902,88484180696.99919,29724.086106553536,-19267.894508676738,106998159395.81805,6566400,Venus
62678923323.35626,86747876934.4684,29160.91177080145,-20096.108362624906,107022621821.80386,6652800,Venus
65147765236.6505,84941468213.36232,28574.55918164627,-20907.508346135102,107048046864.81378,6739200,Venus
67563988809.9109,83066463744.46199,27965.55061643981,-21701.440612272327,107074413297.08878,6825600,Venus
69925683304.57939,81124427729.55957,27334.427021626074,-22477.268691000187,107101699146.4695,6912000,Venus
72230986277.43387,79116977813.34875,26681.74737100087,-23234.374030217758,107129881718.07509,6998400,Venus
74478085081.34459,77045783490.90852,26008.08800822602,-23972.15650972487,107158937616.57007,7084800,Venus
76665218307.97664,74912564473.15652,25314.041974907897,-24690.034927685174,107188842768.9867,7171200,Venus
78790677171.30481,72719089012.67926,24600.218325557573,-25387.44745922753,107219572448.0691,7257600,Venus
